Level,Win%,AvgMovesWin,AvgMovesLoss,Moves,ObsInLevel,AvgObsClears,Deadlocks
LevelP_00010,100,10,0,30,36,36,0
LevelP_00020,100,9,0,27,36,36,0
LevelP_00030,100,14,0,27,29,29,0
LevelP_00040,0,0,1,30,49,0,150
LevelP_00050,0,0,30,30,0,0,0
LevelP_00060,100,13,0,30,40,40,0
LevelP_00070,96,17,0,30,59,57,6
LevelP_00080,97,23,33,33,45,45,0
LevelP_00090,91,18,28,35,48,45,3
LevelP_00100,0,0,28,28,0,0,0
LevelP_00110,100,3,0,25,3,3,0
LevelP_00120,99,18,1,40,48,48,1
LevelP_00130,91,12,23,27,57,53,2
LevelP_00140,49,13,3,20,72,37,67
LevelP_00150,0,0,28,28,12,12,0
LevelP_00160,100,17,0,33,40,40,0
LevelP_00170,97,21,33,33,28,28,0
LevelP_00180,0,0,29,29,47,15,0
LevelP_00190,0,0,27,27,8,0,0
LevelP_00200,0,0,28,28,13,13,0
LevelP_00210,100,3,0,30,4,4,0
LevelP_00220,83,17,1,30,44,37,26
LevelP_00230,0,0,29,30,45,35,5
LevelP_00240,92,22,27,36,24,8,3
LevelP_00250,0,0,28,28,13,13,0
LevelP_00260,0,0,22,22,56,0,2
LevelP_00270,99,21,4,34,16,16,1
LevelP_00280,49,17,29,29,7,3,0
LevelP_00290,0,0,0,26,83,1,150
LevelP_00300,0,0,28,28,13,13,0
LevelP_00310,0,0,11,34,55,14,103
LevelP_00320,0,0,36,36,60,36,1
LevelP_00330,100,3,0,31,15,5,0
LevelP_00340,100,0,0,25,5,5,0
LevelP_00350,0,0,28,28,13,13,0
Levelp_00355,100,10,0,25,39,39,0
LevelP_00360,99,12,25,25,32,32,0
LevelP_00370,99,15,25,25,32,32,0
LevelP_00380,0,0,29,29,51,6,0
LevelP_00400,0,0,28,28,13,13,0
LevelP_00410,100,6,0,40,10,10,0
LevelP_00420,0,0,16,25,63,23,56
LevelP_00430,59,25,31,32,30,23,3
